,timepoint,centroid-0,centroid-1,centroid-2,size,min_intensity,max_intensity,mean_intensity,var_intensity,mean_background_intensity,SNR
1535,3.0,45.0,99.0,0.0,8.485281374238571,0.0,0.5735435485839844,0.0374386714054988,0.011427475951319923,0.00018095696109464798,206.89268419973536
1536,3.0,99.0,0.0,30.0,8.485281374238571,0.0,0.53955078125,0.029338647511379778,0.00808339424414276,0.010041618347167968,2.921705097431246
1537,3.0,99.0,0.0,91.0,8.485281374238571,0.0,0.5386886596679688,0.029442684709533186,0.008063101788045559,0.013615081787109375,2.1625051666901647
1538,3.0,72.0,99.0,0.0,8.485281374238571,0.0,0.3966941833496094,0.023828829251802883,0.005030829665346136,0.0014249867406384699,16.72214103629224
1539,3.0,99.0,99.0,20.0,8.485281374238571,0.0,0.39032745361328125,0.014890182116800103,0.0031912083680624677,0.0022456000832950366,6.63082542059372
1540,3.0,0.0,40.0,0.0,8.485281374238571,0.0,0.395111083984375,0.02281620876848205,0.0034003211262165762,0.01627372292911305,1.4020276041239923
1541,3.0,15.0,68.0,99.0,8.485281374238571,0.0,0.3432731628417969,0.021929591155249225,0.0034527046422273043,5.048864028033088e-07,43434.70339761249
1542,3.0,99.0,30.0,27.0,8.485281374238571,0.0,0.3597679138183594,0.022170511881510417,0.003495396528030849,0.006345881036965244,3.4936853925192555
1543,3.0,71.0,99.0,53.0,8.485281374238571,0.0,0.3970527648925781,0.015517652527359892,0.003267531548815724,2.4616017061121324e-05,630.3884372857606
1544,3.0,35.0,0.0,92.0,8.485281374238571,0.0,0.35425567626953125,0.018860768463652013,0.0031335170042569764,1.0899135044642857e-06,17304.830508474577
1545,3.0,2.0,99.0,10.0,8.485281374238571,0.0,0.3125762939453125,0.012445780856550232,0.0021913897354526725,0.00379276617453517,3.281452186562898
1546,3.0,99.0,69.0,72.0,8.485281374238571,0.0,0.24717330932617188,0.01903593275282118,0.002196902057075482,0.004467579255621117,4.260905439756917
1547,3.0,0.0,99.0,21.0,8.485281374238571,0.0,0.27683258056640625,0.014506190276342975,0.0014556079566635592,0.004712362850413603,3.078326253053661
1548,3.0,0.0,30.0,33.0,8.485281374238571,0.0,0.24959945678710938,0.010964389377170139,0.0013611650752823473,0.0043615490557199505,2.513875056108998
1549,3.0,77.0,5.0,0.0,8.485281374238571,0.0,0.3241691589355469,0.013388579746462265,0.002270655830436298,2.108582662879874e-05,634.9563610741408
1550,3.0,99.0,5.0,0.0,8.485281374238571,0.0,0.24708175659179688,0.019019216861364978,0.0023148878827536825,0.004226929550870843,4.4995348591619155
1553,3.0,99.0,99.0,78.0,8.485281374238571,0.0,0.3147773742675781,0.012315545200316374,0.0022249097648546256,0.005020803563735065,2.452903214391965
1554,3.0,99.0,40.0,84.0,8.485281374238571,0.0,0.2887420654296875,0.018443060980902776,0.0022192770675710043,0.001712717287025627,10.768304331727585
1555,3.0,48.0,0.0,74.0,8.485281374238571,0.0,0.2896003723144531,0.011306888801007232,0.0018792434937877432,0.0004642486572265625,24.355242874702054
1556,3.0,0.0,77.0,86.0,8.485281374238571,0.0,0.2892417907714844,0.012474009195963542,0.0018670828277607345,0.006093692317340216,2.047036270680666
1557,3.0,45.0,87.0,99.0,8.485281374238571,0.0,0.2869148254394531,0.011344625930155604,0.0018474802395441658,0.0003350679991675205,33.857682495318656
1558,3.0,0.0,24.0,85.0,8.485281374238571,0.0,0.2852935791015625,0.013369140625,0.0018089325222755887,0.009384107440242947,1.424657668311381
1559,3.0,90.0,71.0,0.0,8.485281374238571,0.0,0.286956787109375,0.011781582162399922,0.0018458950520125513,0.0012547773473403033,9.389380663727176
1561,3.0,73.0,99.0,94.0,8.485281374238571,0.0,0.2844505310058594,0.012931427865658165,0.001741101159167572,0.0022152541974268924,5.837446501931265
1562,3.0,39.0,38.0,0.0,8.485281374238571,0.0,0.2024688720703125,0.014627913798182464,0.001517305948519512,0.0006889118867761949,21.23335956160472
